天数,叙述文本,A,B,C,A结果文本,B结果文本,C结果文本,A系统结算,B系统结算,C系统结算,,破坏,文书,贿赂,？,,真相线索,体力最大值（初始10）,体力最小值（初始10）,魔力最大值（初始10）,魔力最小值（初始10）,备注,
第1天 收押入狱,"铁门阖上，声音沉入石壁，如一场缓慢的祈祷。
你被编号为 E-9，投入这座名为“静祷之狱”的地下圣堂。
光源只来自嵌在石壁中的灰烬灯，那是以罪人骨粉调炼的冷焰。
角落有一只未封口的补药瓶，其符纹与你记忆中的炼金铭文同出一脉——你认出药剂，这药能暂时稳固血息。
在这沉默的圣咒里，你必须决定要以何种姿态迎接你的第一个夜晚。",以怒为誓，击打铁栏,沉默观察,以疯掩智,"“我是被冤枉的！放我出去——！”
你的怒吼回荡在石壁间，狱卒回头，脸上露出冷笑。
棍棒落下的声音比你的心跳更清晰。木质镶铁的刑杖劈开空气，砸向你的肩。
疼痛模糊了视线，却让你看清了他：
在他腰间的钥匙串旁，悬着一只破裂的圣徽坠饰，其表面刻痕早已磨平。
而在他指节处，你瞥见厚茧裂口中渗出的灰色药膏。那是你熟悉的止痛膏，来自下级炼金工坊。
你恍然——这名狱卒长期受旧伤折磨，却买不起正统药。
当棍影再度落下，你咬紧牙关，不再躲避。
铁的味道在口中扩散，你反而笑了。
“他也在受苦。”","你靠着潮湿的石壁，闭上眼。
灯焰在灰尘与湿气中微颤，空气沉闷得像封存在药瓶里的溶液。
你缓慢呼吸——那股味道让你瞬间清醒：苦木、银盐、温石灰、极微量的龙葵残素。
那是炼金药剂中极少使用的基础中和配方，用于长期保存易变药液。
这意味着，此地的空气并非天然，而是人工调配的稳定环境。
你心中一凛。监狱的墙壁、地面、通风口，都沾染着药性。
它从未只是监牢——这里原是药剂储藏或实验场。
若“疗愈剂毒变”事件源自药物被篡改，那么这片地底，极可能就是最初的调配所。
你睁开眼，冰冷的灰烬灯在摇曳的雾气中闪烁，像是化学反应尚未结束的微光。","你仰头笑出声。笑声在湿壁上回荡，如被囚的幽灵。
狱卒骂了句“疯子”，关灯离去。
阴影中，一个低哑的声音轻轻问：“炼金师，你装疯，是想留命，还是留真相？”
你循声望去，对面监牢的囚徒正以血在墙上绘阵。
上面是模糊的红色痕迹， 并非字迹，而更像指节摩擦出的七个短横印。
“我能感觉到风，但我们无处可逃。”那人说
你顺着墙缝伸手，感到微微气流——这石壁并非实心，却不足以逃脱。
你望向对面漆黑的监牢，什么也没说。","体力-5
获得线索：狱卒需要止痛膏（贿赂线推进）
获得道具：血息药剂（可补充体力和魔力）","魔力+5
获得线索：此地曾为药剂试验场（破坏线推进）
获得道具：血息药剂（可补充体力和魔力）","获得线索：空心石壁（破坏线推进）
获得道具：血息药剂（可补充体力和魔力）",,1,,1,,,1,15,10,20,15,血息药剂体力魔力+5,
第2天 卷宗缺页,"黎明没有到来， 只有铁门的回音。
灰烬灯未熄，你却在一种模糊的半梦半醒中被唤醒。
门外响起靴底的撞击声——那是审判执事的步伐，缓慢、精准，仿佛每一步都在丈量罪人的呼吸。
他身披灰白法袍，袍角带着金线的祷文缠印。他的眼如盲者，却能看见一切。
狱卒布拉姆弯腰行礼，而执事未看他，只冷声道：“E-9 号囚徒——以圣典之名，签下你的认罪书。”
铁栏外的光线将文件投在地上，你看见那是用神祷纸写成的文书,一旦签署，墨迹会被圣阵吞噬，成为“圣典档案”的一部分。
你的手腕仍被锁链束缚，
他在等待，灯焰的呼吸声在黑暗中比心跳还响。",同意签字，窥视文书,直接拒绝,诘问,"你低头接过羽笔。墨的气味刺入鼻腔。
那是夜影墨。以银盐和血粉为媒，能永久刻印签名灵痕。
你手指轻轻一抹，感到血粉的温度尚未干透——那意味着此文件曾在别处被篡改。
你瞥见文书上印有一行微小的赦令编号，那是疗愈剂试验时使用的批量登记编码。
这不只是一份认罪书，而是将你与毒变实验绑定的伪证。
你假装颤抖地签下名字，同时暗中用指甲刮下一点墨屑，滴入掌心，
血粉与你的血液相融，这份文书确实带有你炼金标记的残影。他们用了你的旧档案。
你在签字的瞬间明白，神要的不是你的供词，而是你的笔迹。","你抬起头，看向执事。
“若这真是神的意志，为何要凡人签名？”
他微微俯身，手中圣徽亮起白光，光线冷得像刀。
一阵灼热穿过你的胸口——那不是火，而是刻入血脉的审问符。
“凡人，”他说，“神已写下判词，你的手，只需追随祂的笔。”
圣徽压在你额上，烫得皮肉焦黑。
你的手被他强行摁在文件上，羽笔被塞进指缝，墨水与血混成一体。
“签下，凡人。”
你几乎没意识到自己什么时候动的笔。当那最后一划落下，咒语便立刻停止。
空气恢复寂静。圣徽的光暗了下去，你的身体也随之松开。
铁链仍在颤抖，但不知是被震动的金属，还是你仍在发抖的手。","“我并未调制那批疗愈剂。”你的声音低而稳，
“可卷宗上却是我的手迹、我的编号。若神全知，祂该知道——那份罪证是伪造的。”
审判执事缓缓地转动圣徽，光线在他指间流淌，像是在玩弄一个无声的判决。
“伪造？”他重复这个词，语气轻蔑得仿佛是在听一场笑话。
“炼药师。”他轻声重复这个称呼，“在神的秩序里，只有祈祷能治愈病者。
而你们，用手炼出药液，试图模仿神迹。”
他顿了顿，声音轻得几乎听不见：“凡人若想治愈凡人，等同于亵渎，不可饶恕。”",获得线索：文件为伪证，墨迹含你旧炼金印记（文书线推进）,魔力-5,获得线索：教廷似乎不允许凡人炼药,,1,1,1,,,2,15,10,20,10,,
第3天 鼠群,"第三夜，铁门依旧，灰烬灯昏黄如溶铁。
你还记得昨日的签名，那个被强行写下的名字在脑中灼烧不止。
对面的囚笼里传来嘶哑的呻吟。那个曾与你低语的囚友，正弯着腰在地面上挣扎。
你听见金属碰撞骨头的声音。
灰烬灯闪烁，当光亮重新落下时，他已蜷缩成一团，不再动弹。
腐臭很快弥漫开来。黑鼠们循着气味，从阴沟爬出，它们的毛闪着银光——那是被药性污染的光泽。
你看着那一团团鼠影在尸体上攀爬。炼金师的本能在体内苏醒。
鼠毛中含有微量的银盐反应物——它正是止痛膏的次级替代催化剂。
狱卒布拉姆手臂上的腐疮，你认得出，他正在使用劣质止痛膏。
若非使用正统止痛膏，伤口必然难愈。
若你能补全那缺失的几味药，他便会欠你一份恩情。在此地，恩情比钥匙更值钱。
于是——你伸出手，靠向那具还未完全冷透的尸体。",视而不见，静坐休息,观察尸体,喊来狱卒,"你合上眼，不去看那具尸体。
鼠啮与滴水声交织成诡异的节奏，腐臭与血交织成古怪的祷告。
你让呼吸与其节奏同步，让身体在恶臭中习惯死亡的气味。
当你再次睁眼时，你的心跳已不再因恐惧而紊乱。","你屏住呼吸，隔着铁栏观察那具尸体。
灰烬灯微光摇曳，映出一张扭曲的脸。
嘴角凝着一抹黑紫色血痕，那不是腐败，而是急性毒化反应。
胸前的皮肤呈不自然的暗蓝，血管浮起，如被灼烧的纹理。
你的思绪立刻回到了工坊。那是“有毒疗愈剂”试制时的失败症状——
你心头一凛，他果然也是喝过那批疗愈剂的实验者。
若这是掺杂后的药剂版本，说明有人在量产时，故意改变了配方比例
——这不是失误，而是篡改。","你退后几步，大声呼喊：“这边死人了！”
铁门被打开，狱卒布拉姆拎着刑杖走进来。
鼠群受惊四散，他皱眉低骂。
“死一个？正好少口饭。”
他掀开尸体，看了一眼，竟徒手去推那具身体。
毒血从伤口溢出，溅在他的小臂上，瞬间冒出黑斑。
他低吼一声，倒退两步。你试图提醒他“有毒”，却被反手一棍击中肩膀。
“闭嘴，异端！”
他愤怒离开，只留下尸体与逐渐回来的鼠群。
你的身体发抖，不知是疼还是寒。
你明白——他很快就会因毒血旧伤复发。
也许那时，他终于需要你手里的药。","体力+5
获得道具：黑鼠毛（止痛膏补充成分）(贿赂线推进)","获得线索：尸体为服用掺杂疗愈剂的实验者，毒发身亡
获得线索：有人在药剂量产时做了手脚
获得道具：黑鼠毛（止痛膏补充成分）(贿赂线推进)","体力-5
获得道具：黑鼠毛（止痛膏补充成分）(贿赂线推进)",,1,1,2,,,4,20,5,20,10,,
第4天 狱友雷恩,"夜半的狱室弥漫着潮与铁的味道。
灰烬灯一闪一闪，像是在喘息。
你正思考怎么拿到止痛膏的其他材料——
忽然，隔壁的墙传来一阵轻敲。
三声，停顿，两声——一种有节奏的暗号。
片刻后，砖缝间传来沙哑的声音：“你就是那个炼药的，对吗？”
你没有答。
那声音笑了笑。“别装。我知道你会调药。气味骗不了我。”
一只干瘦的手指从墙缝里伸出，推进来一小包油布裹的粉末。
“火油。”他低声说。
“若你会调制爆炸魔药，我们也许能烧开北侧的铁锁。我负责撬门，你来做药。”
他自称名叫雷恩。
你看不清他的脸，只能在油灯残光中看见那双眼——像一只疲惫的猎犬。
雷恩的语气平稳得近乎温和，但在那平和的背后，你嗅到了某种危险。
在这座狱堂里，“合作”从来都不是共享的信任，而是计算。",同意合作,转移话题，探问雷恩的过去,质疑雷恩动机,"你盯着那包火油粉，银色反光从缝隙中跳跃。
“好。”你低声道。“我来调药，你来开锁。”
墙那边传来一声轻笑，像是铁链被划破的声音。“聪明的选择。”
你将一点火油粉混入灯底，灰烬灯的火焰瞬间变得明亮。
空气中弥漫出甜腥的味道——爆燃反应的前兆。
你第一次嗅到自由的气息，它带着危险与希望。","“你因何入狱？”
墙那边沉默了一会儿，传来一声轻笑。
“我？……偷东西。”声音听起来平淡得近乎自嘲。
“那时我在修院做杂工。神官们宴会后会留下半瓶‘圣酒’，我就顺手拿走了几瓶。结果被当场抓住。圣酒是祭用品，凡人碰不得。于是我成了‘亵圣者’。”
他笑着摇头：“真讽刺，不是吗？我偷酒活着，他们赐药杀人。”
你没有回应。
“那你呢？”雷恩问。
你迟疑片刻，低声答：“说是毒变案主调者。十一天后就要上刑台。”
墙后那人发出一声短促的吸气声。
“十一天？你连正式审判都没经过？”
“没有。” 
“那——”他顿了顿，“你入狱那天，有没有被记档？有没有编号誊录？有没有宣告期？”
你回忆起那日的景象：冰冷的手镯扣在腕上，审判执事只是冷冷念出一串数字，
没有宣告、没有印章、没有书文。
雷恩轻声道：“……那不对。”
他的话如同一滴冷水坠入你的脑海。
没有笔录，没有存档。
你不是被判刑，你是被“指名”
你不是罪人，而是一份“结果”。","你冷笑：“撬锁、火油、暗号……你看起来太准备充分了。”
墙后的人没有立刻答。只有灰烬灯的光在墙缝间跳动，像是某种不安的预兆。
“你以为我信你？”你继续道。
“在这里，每一个伸手的人，都有另一只手藏在阴影里。”
片刻的寂静后，他低声笑了。
“好吧，自命不凡的炼金师。等你决定要活的时候，我还在这。”
话音落下，墙缝里的光也熄灭了。
你靠在冰冷的石壁上，灰烬灯的焰心微弱地闪着。
你知道——那个人会再出现。
而这场“合作”，终将以血或火为印记。",获得道具：火油粉（爆炸魔药成分）(破坏线推进),"获得道具：火油粉（爆炸魔药成分）(破坏线推进)
获得线索：被捕流程不正常，似乎有谁想立刻将你置于死地(文书线推进)",获得道具：火油粉（爆炸魔药成分）(破坏线推进),,2,2,2,,,5,20,5,20,10,,
第5天 审判庭,"天未亮，你便被狱卒拖出牢门。
链环在石板上摩擦，留下一串沉闷的回响。
审判厅的穹顶高而空，壁面镶嵌着黄金铭文与圣徽浮雕，灰尘漂浮在光柱中，如同缓慢坠落的祈祷。
审判官端坐于光幕之后，手中握着一瓶泛白的药液。
“E-9号，炼金术士，涉毒案被捕。现命你重新确认：是否承认参与疗愈剂生产与试验？”
你未答，沉默不语。
审判官冷笑：“凡人竟敢以圣药为伪药，看来火刑才足以洗净这份傲慢。”
你抬眼。
人群后，一名黑衣人静立不动。
他没有徽章，没有锁链，却在你与圣堂之间的光影中显得格外清晰。
当你看向他时，他缓缓抬起手——三指并拢，指向心口。你的呼吸微微一滞。
审判官的声音再次压下：“回答，E-9号。”",查看药剂,看向黑衣人,装病昏厥,"你没有立刻回答审判官，而是注视着桌上的药瓶。
药液呈浅乳白色，但底部的沉渣泛着灰紫色的雾纹。
你心头一冷，这是被“掺改”的疗愈剂。它的药性会迅速凝滞血脉、抑制思维。
你试探性问道：“此药来自谁的手？”
审判官抬眼：“来自你。”
你听见几名神官窃笑。
药液在光下呼吸，你闻到淡淡的眠鸦花粉气息。
——那正是你在狱中死去的囚友嘴角的味道。","你装作在听审问，但视线却一直停在那位黑衣人身上。
黑衣人比过手势后冲你微微颔首，
你没有不安，只是感到一种无法言喻的好奇。
那不是威胁，更像是约定。","你假装昏厥，身体前倾。
一旁的修女惊呼一声，连忙呼唤狱卒。
当狱卒将你拖起时，修女给你灌下一瓶药剂，
味道极苦，却迅速扩散至喉咙——一阵刺痛后，你的四肢重新有了力气，魔力也在短暂时间内回流。
而正是在这段被忽视的空隙中——你注意到审判桌旁，地面石砖的纹路与牢区常见的铺设方式微妙不同。
一道极细的灰缝，从审判席延伸至墙角灯柱，仿佛被刻意掩盖过。
狱卒不耐烦地踢了踢你，“起来，该轮到你回话了。”
你强忍着咳嗽站起来，但脑海已牢牢记住那道灰缝的位置。","获得线索：当药液中眠鸦花粉配比失调后，会造成血液凝固、呼吸骤停。
获得线索：神秘人（?线推进）",获得线索：神秘人（?线推进）,"体力+5
魔力+5
 
获得线索：石砖下似乎另有空间（破坏线推进）
获得线索：神秘人（?线推进）",,3,2,2,1,,6,25,5,25,10,,
,"因为你没有当场认罪，提审草草结束。
审判官只留下冷淡的命令：“准备二次庭审。”
狱卒重新押你返回牢中。石门在背后关闭的声音，像是世界落下的最后一页纸。
你以为一切已然结束。
直到夜半。
灰烬灯忽明忽暗，空气里传来一种几乎听不见的节奏：
咚——咚——咚。
声音来自墙的那一侧，正好在第三块砖之后。
你俯身，将耳贴在冰冷的石壁上。
那声音带着微弱的回音：“明天……小心。”
声音极轻，却仿佛在你骨头里回荡。
你立刻想起白日的手势——三指、心口、无声。
他知道你会听。他知道你能明白。
你忽然意识到，那不是威胁，而是联络。
灯焰再一次闪烁时，你的影子在墙上变形，像有第二个自己在倾听。
在这座神的牢狱里，有人正在低语。
而那低语，也许来自地狱。",,,,,,,,,,,,,,,,,,,,,,
第6天 玛丽艾尔,"清晨，狱区突起暴动。
你被突如其来的震动惊醒，铁门被撞开的回声在墙间回荡。火油的气味顺着风钻进来，混合着焦灼与血的味道。
若非那声音提醒你小心，此刻你大概也被埋在火与铁之间。
一刻钟后，暴动被镇压，混乱散去，只剩焦灰与圣油的气味。
修女玛丽艾尔带着药箱缓缓而来。
她挨个检查伤者，低声祷告，当她走到你面前，目光微微停顿，仿佛若有所思。
她没有说话，只轻轻点头。
“主保佑你，幸存者。”
她转身的那一刻，圣徽在光里晃了一下。
你看着那光，心底忽然升起一丝异样的不安。
暴动如此正好发生在你所在的区域，
难道这火并非偶然。
或许，有人希望你根本没有机会再说话。",与修女交谈,帮助修女打下手,假装受伤，索要补剂,"你低声问：“修女，外面的局势……还好吗？”
她微微一怔，随后语气温和，却带着一种礼仪化的疏离。
“不，只是外区的炼药坊出了事。近来他们的药接连失效，有的甚至毒化。”
她说得轻描淡写，却掩不住语气里的不安。
“教会指示，是民间方法过于粗陋，不配使用圣药之名。他们正召回所有配方，重新审核。”
她顿了顿，低声补了一句：“这是主的旨意，也是为了信徒的安全。”","你默默走上前，递过干净的布。
她略显意外地看你一眼，但未拒绝，示意你帮她将圣油与麻根粉调匀。
药液的香气弥漫开来，带着温热的金属味。
你熟悉这种配比——止痛膏。
若缺少几味材料，药效会止痛但不长久，正是你之前看到狱卒使用的东西。
你心中暗记下止痛膏比例。
若能补齐那些材料，就能配出更有效的止痛膏。
或许，这将成为你与狱卒交易的筹码。","你靠在墙边，装作虚弱地喘息。
修女皱眉，递给你一瓶浅金色的补剂。
“喝吧，能缓和体内的乱流。”
你接过，轻抿一口，药液的热度在喉中散开，
一瞬间，四肢的酸痛全数退去。",获得线索：平民炼药师的药大面积出现问题，教会正在召回所有配方(文书线推进),获得线索：止痛膏配方（贿赂线推进）,"体力+5
魔力+5",,3,3,3,2,,7,30,5,30,10,,
第7天 突袭点名,"自暴动以来，牢区的气息始终不安。
白日里，巡逻的频率翻了一倍；
夜幕降临，火炬的光在长廊中闪烁不定。
风从通风孔灌入，带着灰与药的味道。
一声低沉的号角打破寂静。
“全员起立，夜半点名——搜身。”
铁门一扇扇开启，金属的回音在走廊中滚动。
你下意识摸了摸袖口——
那里，藏着你这些日子辛苦收集的材料。
若被查到，不仅越狱计划会被彻底暴露，连性命，也将被神权焚尽。
火光越来越近，心跳仿佛跟着靴声在胸腔里敲击。
一切的努力，都可能毁于一瞬。",将材料藏匿于第三块空心砖后,让雷恩吸引狱卒注意力,威胁狱卒,"你尽力让自己冷静下来，借着火光掩饰动作，
偷偷伸指把那第三块略微松动的砖撬开。
在藏匿时似乎有特别的手感从指尖略过，砖下还有别的东西。
狱卒在你的牢房一无所获，转头继续搜查。
火光一去，你快步靠近，伸手拨开那块砖。
一张被水汽浸湿的碎纸滑落出来，纸上刻着一个印记——半圆与三角交叠的符号。
你怔住。那正是庭审日上，那位披着黑袍的陌生人袖口下的纹样。
纸页背面只有一句话：
“待火再次点燃，灰烬自会指引去路。”","狱卒的靴声愈发逼近，火把的光在门缝中摇晃。
你低声对雷恩说：“想活下去，就现在——闹一场。”
雷恩微微一怔，随即领会你的意思，眼底闪过一丝狠意。
他猛地踢翻水桶，铁器撞地发出刺耳的响声。
“你们这些畜生！”他嘶吼着，“连死人都不放过？昨夜那暴动之人被烧成灰，你们还嫌不够吗！”
火把立刻转向他那一侧，狱卒们被突如其来的喧哗激怒，一拥而上，呵斥、殴打、维持秩序。
你趁乱稳住呼吸，背靠墙壁，悄无声息地调整衣袖与床下的藏物。
火光一闪而过，守卫的视线被彻底吸走。
他们花了好一阵才制服雷恩，其中一人不耐烦地低声咒骂：“疯子，吵得连圣徽都要掉。”
搜查在混乱中草草结束。
雷恩被推回牢内，嘴角带血，却笑了笑。
“记得欠我的恩情，炼药师，”他低声道。
你点头，看着守卫们离去的背影，火把的光在地面拖出长长的影子。","若此刻被细查，前日所有准备都将付诸东流。
你决定把话语做成武器——
以你对草药与病症的所知，刺入那名狱卒最怕被人知晓的伤口。
你猛地站起，直视那最靠前的陌生狱卒，声音冷得像石缝里的风：“你那咳嗽已不是普通的烟嗽，胸片上那斑点——若城里医者瞧见，恐怕将你逐出守卫。我要他知道你的病曾被隐瞒，你想让他们说你在审判日偷懒吗？”
狱卒的脸色瞬间变了，羞怒与惶恐交错。
几名同僚互相对视，没人愿意当着众人揭发同僚的丑事。
火把的光在那刻移开。狱卒粗声命令同伴绕道，搜查队的注意力被你的言语牵走。
你趁势低头整理衣褶，袖口里的藏物安然无恙。
直到火光彻底远去，你才松开手，掌心已被冷汗浸湿。",获得线索：神秘人的消息（?线推进）,获得线索：与雷恩的合作（破坏线推进）,"体力-5
魔力-5",,4,3,3,3,,7,30,0,30,5,,
第8天 意外访客,"当日午后，牢门被敲响。
“有人要见你——上头批准的。”
你被带往审讯室。
墙上仍留着旧火的痕迹，但此刻只有一盏油灯在摇曳。
桌边坐着那个人。
他披着灰袍，面容隐藏在光影之间。当他抬头时，你认了出来。
那是你昔日的同事——曾在魔法院供职的炼药师、你的朋友维拉。
她被调入神审局后失联数月，如今却穿着调查员的外袍。
她低声道，“他们想让你死得干净，我却不能看着你被当作替罪羊。”
她俯身低语，眼中闪过一抹不安。
“我没太多时间。他们已经怀疑我，但我可以帮你离开这里。你要什么，我尽力给——但别问太多。”
但那句“离开这里”在空气中回荡，像一线被灰尘遮蔽的光。
你看向她的背包。",索要监狱地图,索要止痛膏材料,索要圣典抄本,"你低声道：“我要监狱的地图。不完整也行——只要能告诉我通往外界的路径。”
她皱眉，从笔记里撕下一张羊皮纸。
上面刻着细密的纹路，符文光在微暗的灯火中流动。
“这是我记录的通风井分布图，若你懂得如何避开巡逻与封印，它能带你通向‘表面’。”","“我要锡粉。”你低声说。
她挑眉：“你在牢里还想炼药？疯了吗？”
“那狱卒的止痛膏，他们用的配方缺少黑鼠毛与锡粉。若我能补全，狱卒就会知道我的药才是真的有用。”
她沉默片刻，从怀中取出一个小布袋。
你接过布袋，闻到熟悉的炼药坊的苦香。
她看了你一眼，语气中带着某种隐忧：“小心别被看出你比他们懂得多。”","你沉声道：“我需要那本圣典的抄本。”
她显然愣了愣，“那玩意？你要它做什么？忏悔？”
“我打算伪造一份赦令。教廷的文书都有固定格式，措辞与印记缺一不可。没有范例，我写不出能骗过主审印章的文件。”
她沉默片刻，随后叹息。从外袍里取出一册薄薄的书。
封面是褪色的金箔，上面印着半圆与三角的符号。
“这是圣典的旧抄本。若你真打算伪造文书，记得抄他们的字，却别信他们的神。”
她将圣典递到你手中，指尖触到你的掌心。“赦免与罪，从来只差一笔。”","获得道具：监狱地图（破坏线推进）
获得线索：神秘人是维拉（？线推进）","获得道具：锡粉（贿赂线推进）
获得线索：神秘人是维拉（？线推进）","获得道具：圣典抄本（文书线推进）
获得线索：神秘人是维拉（？线推进）",,5,4,4,4,,7,30,0,30,5,,
第9天 欲加之罪,"次日清晨，清晨的光透过高窗，照在石壁上。
你被狱卒押往审讯厅。
那里的空气带着灰尘与圣油的气味。
十五座烛台燃着淡金的火焰，每一簇火都在映照着裁决的冷意。
今日的审问由副院长亲自主持。
他坐在高座后方，衣袍深色，眼神沉静，唇角带着一种令人不安的笑。
“E-9，你是否认罪？”
你沉默。
他俯身，声音如铁链拖地：“E-9，你有原罪。凡人若能炼药治人，那神的恩典，又算什么？”",假意认罪，暂避锋芒,大声诘问,向副院长告发药剂真相,"你低下头，假装顺从。
“是我误调药剂，愿以凡人之身赎神之罪。”
副院长凝视片刻，露出满意的微笑。
他取出一份契约：“主会怜悯懂得忏悔的罪人。既然认罪——那就替教会签下平民炼药师禁令，成为活证。”
他翻开一页文件，上面赫然是平民炼药师的名册与印章。
“这些人与你共事过吧？他们的罪也与你相连。”
他伸出羽笔，在名单下写下一道命令。
你隐约看见笔迹的最后一行：“即日执行焚除令。”
心脏骤紧，你意识到——你的认罪，不仅救不了自己，还会让所有平民炼药师遭殃。
但此刻你无法反抗，只能装作顺从。
火焰在圣徽上跳动，像是某种冷漠的嘲讽。","你猛地抬头，声音如火：“难道神的恩典只属于贵族？难道平民炼药就该被焚毁？”
审讯厅瞬间寂静。
副院长原本带笑的嘴角微微一抖，下一刻，他的眼神骤冷。
“放肆——”他猛地起身，圣徽撞在胸口发出沉响。
“你以为自己是谁？神的祝福不在你的血里，也不在你手中。你们窃取神术、玷污律典……以为那药能救人？它只会制造更多的异端！”
他的情绪突然失控，火焰在他身后狂乱跳动，烛台的光影在墙上扭曲成扭曲的圣像。
你从他的怒火中，看见了一丝隐藏极深的恐惧
——他害怕的并非“异端”，而是“平民能取代神”。
守卫们冲上前，将你按倒在地面。
你嘴角带血，仍冷笑。真相比烈火更刺眼。","你抬起头，声音平静：“副院长，我看过药剂的成分。那药并非我所制。”
他轻轻挑眉，神情一瞬间凝固。“你在暗示什么？”
“那瓶疗愈剂的沉淀不对，是眠鸦花粉配比失调后，会造成血液凝固、呼吸骤停，这不是炼药师的失误，而是有人故意为之。”
审讯厅陷入死寂。烛火摇曳，空气仿佛凝固。
副院长的脸色在光影中一点点阴沉，他微微俯身，“你知道吗，异端——我最不喜欢的，就是凡人自以为懂得真理的样子。”
他的手轻轻一挥。守卫们立刻明白了命令。
你被按在石地上，手臂被圣链锁死。
“凡人怎能质疑神谕？”副院长俯视着你，语气像在诵读祷词。
“主之律，不容异声。”
他起身，手按在圣徽上。
“异端之言，罪加一等。”
守卫拔剑。火焰映亮你的眼。
你来不及辩解，一道冷光已掠过空气。
世界在一瞬间陷入寂静。",获得线索：教会计划清除平民炼药师,获得线索：副院长掩盖教会垄断炼药权的事实,"获得线索：疗愈剂配方被教会篡改，副院长知情

触发结局：【真理之死】

当力气彻底流尽时，你的头垂落在审判庭的地上，仿佛一场早被写入圣典的祷告。

翌日的通告上写着——
“异端伊斯于审判中认罪后病逝，灵魂已归于圣焰。”",,5,4,4,4,,8,30,0,30,5,,
